P10009|  40000.00|  40000.00|  40000.00|  40000.00|  65500.00|  65500.00|  65500.00|  65500.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  60000.00|  60000.00|  60000.00|  60000.00|  60000.00|  60000.00|  60000.00|  60000.00|  60000.00|  35000.00|  35000.00|  35000.00|  35000.00|  25000.00|  25000.00|  25000.00|  25000.00|  30000.00|  30000.00|  30000.00|  30000.00|  30000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  55000.00|  65000.00|  65000.00|  65000.00|  65000.00|  65000.00|  65000.00|
P10012|  82080.00|  82080.00|  82080.00|  82080.00| 134406.00| 134406.00| 134406.00| 134406.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 123120.00| 123120.00| 123120.00| 123120.00| 123120.00| 123120.00| 123120.00| 123120.00| 123120.00|  71820.00|  71820.00|  71820.00|  71820.00|  51300.00|  51300.00|  51300.00|  51300.00|  61560.00|  61560.00|  61560.00|  61560.00|  61560.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 112860.00| 133380.00| 133380.00| 133380.00| 133380.00| 133380.00| 133380.00|
P10013|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|
P10022|  75000.00|  75000.00|  75000.00|  75000.00| 150000.00| 150000.00| 150000.00| 150000.00| 137500.00| 137500.00| 137500.00| 137500.00| 137500.00| 137500.00| 137500.00| 137500.00| 137500.00| 150000.00| 150000.00| 150000.00| 150000.00| 150000.00| 150000.00| 150000.00| 150000.00| 150000.00|  75000.00|  75000.00|  75000.00|  75000.00|  56250.00|  56250.00|  56250.00|  56250.00|  87500.00|  87500.00|  87500.00|  87500.00|  87500.00| 143750.00| 143750.00| 143750.00| 143750.00| 156250.00| 156250.00| 156250.00| 156250.00| 181250.00| 181250.00| 181250.00| 181250.00| 181250.00| 181250.00|
P10023|  45000.00|  45000.00|  45000.00|  45000.00|  90000.00|  90000.00|  90000.00|  90000.00|  82500.00|  82500.00|  82500.00|  82500.00|  82500.00|  82500.00|  82500.00|  82500.00|  82500.00|  90000.00|  90000.00|  90000.00|  90000.00|  90000.00|  90000.00|  90000.00|  90000.00|  90000.00|  45000.00|  45000.00|  45000.00|  45000.00|  33750.00|  33750.00|  33750.00|  33750.00|  52500.00|  52500.00|  52500.00|  52500.00|  52500.00|  86250.00|  86250.00|  86250.00|  86250.00|  93750.00|  93750.00|  93750.00|  93750.00| 108750.00| 108750.00| 108750.00| 108750.00| 108750.00| 108750.00|
P10024|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|      1.00|
B09160M|     38.00|     38.00|     38.00|     38.00|     62.00|     62.00|     62.00|     62.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     57.00|     57.00|     57.00|     57.00|     57.00|     57.00|     57.00|     57.00|     57.00|     33.00|     33.00|     33.00|     33.00|     24.00|     24.00|     24.00|     24.00|     28.00|     28.00|     28.00|     28.00|     28.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     52.00|     62.00|     62.00|     62.00|     62.00|     62.00|     62.00|
B39478M|    126.00|    126.00|    126.00|    126.00|    207.00|    207.00|    207.00|    207.00|    174.00|    174.00|    174.00|    174.00|    174.00|    174.00|    174.00|    174.00|    174.00|    190.00|    190.00|    190.00|    190.00|    190.00|    190.00|    190.00|    190.00|    190.00|    110.00|    110.00|    110.00|    110.00|     79.00|     79.00|     79.00|     79.00|     95.00|     95.00|     95.00|     95.00|     95.00|    174.00|    174.00|    174.00|    174.00|    174.00|    174.00|    174.00|    174.00|    206.00|    206.00|    206.00|    206.00|    206.00|    206.00|
B45208M|    291.00|    291.00|    291.00|    291.00|    476.00|    476.00|    476.00|    476.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|    436.00|    436.00|    436.00|    436.00|    436.00|    436.00|    436.00|    436.00|    436.00|    254.00|    254.00|    254.00|    254.00|    181.00|    181.00|    181.00|    181.00|    218.00|    218.00|    218.00|    218.00|    218.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|    400.00|    473.00|    473.00|    473.00|    473.00|    473.00|    473.00|
B55029M|    219.00|    219.00|    219.00|    219.00|    359.00|    359.00|    359.00|    359.00|    301.00|    301.00|    301.00|    301.00|    301.00|    301.00|    301.00|    301.00|    301.00|    329.00|    329.00|    329.00|    329.00|    329.00|    329.00|    329.00|    329.00|    329.00|    192.00|    192.00|    192.00|    192.00|    137.00|    137.00|    137.00|    137.00|    164.00|    164.00|    164.00|    164.00|    164.00|    301.00|    301.00|    301.00|    301.00|    301.00|    301.00|    301.00|    301.00|    356.00|    356.00|    356.00|    356.00|    356.00|    356.00|
