2010																																																				
TARIFB																																																				
10323M	77,76	77,76	77,76	77,76	77,76	191,52	191,52	191,52	191,52	146,88	146,88	146,88	146,88	156,96	156,96	156,96	156,96	146,88	146,88	146,88	146,88	146,88	136,8	136,8	136,8	136,8	146,88	146,88	146,88	146,88	146,88	82,08	82,08	82,08	82,08	86,4	86,4	86,4	86,4	161,28	161,28	161,28	161,28	161,28	167,04	167,04	167,04	167,04	231,84	231,84	231,84	231,84
10323P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01034M	67,392	67,392	67,392	67,392	67,392	165,984	165,984	165,984	165,984	127,296	127,296	127,296	127,296	136,032	136,032	136,032	136,032	127,296	127,296	127,296	127,296	127,296	118,56	118,56	118,56	118,56	127,296	127,296	127,296	127,296	127,296	71,136	71,136	71,136	71,136	74,88	74,88	74,88	74,88	139,776	139,776	139,776	139,776	139,776	144,768	144,768	144,768	144,768	200,928	200,928	200,928	200,928
01034P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10387A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10387P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01053M	509,1984	509,1984	509,1984	509,1984	509,1984	1254,1368	1254,1368	1254,1368	1254,1368	961,8192	961,8192	961,8192	961,8192	1027,8264	1027,8264	1027,8264	1027,8264	961,8192	961,8192	961,8192	961,8192	961,8192	895,812	895,812	895,812	895,812	961,8192	961,8192	961,8192	961,8192	961,8192	537,4872	537,4872	537,4872	537,4872	565,776	565,776	565,776	565,776	1056,1152	1056,1152	1056,1152	1056,1152	1056,1152	1093,8336	1093,8336	1093,8336	1093,8336	1518,1656	1518,1656	1518,1656	1518,1656
01053P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11069M	449,6472	449,6472	449,6472	449,6472	449,6472	1107,4644	1107,4644	1107,4644	1107,4644	849,3336	849,3336	849,3336	849,3336	907,6212	907,6212	907,6212	907,6212	849,3336	849,3336	849,3336	849,3336	849,3336	791,046	791,046	791,046	791,046	849,3336	849,3336	849,3336	849,3336	849,3336	474,6276	474,6276	474,6276	474,6276	499,608	499,608	499,608	499,608	932,6016	932,6016	932,6016	932,6016	932,6016	965,9088	965,9088	965,9088	965,9088	1340,6148	1340,6148	1340,6148	1340,6148
11069P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11262A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11262P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12202A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12202P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13047M	356,9184	356,9184	356,9184	356,9184	356,9184	879,0768	879,0768	879,0768	879,0768	674,1792	674,1792	674,1792	674,1792	720,4464	720,4464	720,4464	720,4464	674,1792	674,1792	674,1792	674,1792	674,1792	627,912	627,912	627,912	627,912	674,1792	674,1792	674,1792	674,1792	674,1792	376,7472	376,7472	376,7472	376,7472	396,576	396,576	396,576	396,576	740,2752	740,2752	740,2752	740,2752	740,2752	766,7136	766,7136	766,7136	766,7136	1064,1456	1064,1456	1064,1456	1064,1456
13047P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
