28089 individus au total dans la vague
196 bacs dans le fichier

Id Bac;Nombre d'individus
00000;0
01034;7
01053;138
02168;21
02173;23
02408;19
02691;80
02722;38
03185;98
03190;28
03310;110
04070;11
04112;15
06029;208
06088;349
07010;35
08105;136
08409;24
10323;26
11069;155
11262;54
12145;30
12202;178
13004;23
13047;53
13055;753
14118;249
14366;21
14715;24
15014;18
16015;130
17300;130
17415;59
18033;117
18279;26
19031;124
19272;28
21054;29
21231;144
22070;23
22113;47
22278;161
24037;38
24322;145
25056;148
25388;300
25462;14
26198;52
26362;232
27001;12
27016;6
27229;81
27681;13
28085;135
28134;36
29019;175
29039;29
29151;41
29232;139
2A004;0
2B033;0
30007;37
30189;140
31555;397
33001;12
33002;5
33058;14
33063;421
33243;50
33529;105
34032;176
34172;199
34301;19
35238;292
35288;56
36044;112
37261;157
38053;103
38185;227
38544;44
38563;43
39198;24
39300;38
40088;73
40192;65
41018;89
41194;29
41269;34
42147;20
42187;107
42218;180
44109;339
44184;93
44602;18
45208;33
45234;149
47001;51
49007;152
49099;102
49328;40
50129;180
50218;23
50502;34
51108;78
51230;18
51454;141
52121;20
52448;44
53130;119
54323;43
54395;184
56121;180
56165;18
56260;126
57227;132
57463;166
57630;14
57631;20
57672;125
58086;22
58194;81
59122;62
59178;144
59183;135
59350;499
59392;53
59606;170
60057;74
60159;161
60175;60
61001;29
62041;82
62119;96
62160;102
62193;177
62498;81
62765;140
63113;158
63178;9
64102;163
64445;138
65440;97
66136;219
67180;60
67437;12
67482;357
68066;179
68224;193
68297;17
69123;565
69248;3
70550;68
71076;94
71153;21
71270;171
71306;4
71342;12
72181;157
73065;146
74010;147
74012;137
74256;53
74281;89
75999;3938
76259;20
76312;9
76351;186
76540;342
76758;25
77999;320
78999;374
79191;117
80001;28
80021;192
81004;81
81065;92
82112;13
82121;96
83050;35
83116;17
83119;24
83137;235
84003;10
84007;289
85092;14
85146;5
85191;131
86194;166
87085;167
88160;66
88383;19
88413;33
89024;108
91999;272
95999;238
99999;3542

Id Bac;Index Individu;Proba 1;Proba 2;Proba 3
01034;15493;2;2;2
01034;17007;5;5;5
01034;17233;2;2;2
01034;18028;6;6;6
01034;19753;0;0;0
