 Station 1 
QH  Jour 1       Jour 2       Jour 3       Jour 4       Jour 5       Jour 6       Jour 7
 1  0.023039636  0.031707005  0.015541031  0.018585327  0.036164306  0.045570555  0.062230464 
 2  0.018823672  0.020194798  0.014752617  0.016946294  0.023269447  0.031994973  0.058742647 
 3  0.015722980  0.020776188  0.015878534  0.013306266  0.021594341  0.029538491  0.046855545 
 4  0.019502900  0.027092215  0.015524579  0.020283132  0.027759653  0.035191919  0.037477010 
 5  0.018488722  0.020567581  0.016420948  0.022841147  0.024565963  0.029696420  0.048850205 
 6  0.015410377  0.023642847  0.024168896  0.018833263  0.027033443  0.027243194  0.055634124 
 7  0.013196640  0.015492905  0.032329308  0.011924935  0.020330907  0.032149647  0.069484477 
 8  0.014263608  0.020197525  0.030680421  0.010602201  0.018032091  0.024059094  0.066297033 
 9  0.017494603  0.015950328  0.020573828  0.013629603  0.028382132  0.025565008  0.066473615 
10  0.022044462  0.019593347  0.026360110  0.021374472  0.026276790  0.021379311  0.068433433 
11  0.024309493  0.022259492  0.027262902  0.026045219  0.022024929  0.021151347  0.061190067 
12  0.019589827  0.019449143  0.022831908  0.026078916  0.021404650  0.023160436  0.049983072 
13  0.015600068  0.020672633  0.019420900  0.021773914  0.020103559  0.019847617  0.034225515 
14  0.020844111  0.027943625  0.020751377  0.027951016  0.023309743  0.029414523  0.027156179 
15  0.036029780  0.035790378  0.026647902  0.041315527  0.030270157  0.046672100  0.031007101 
16  0.043535423  0.038513536  0.036747192  0.048141239  0.033648875  0.056777286  0.041882049 
17  0.055778768  0.055071738  0.027482683  0.044020737  0.037979656  0.046461118  0.061764067 
18  0.066944851  0.059045220  0.033364690  0.056993284  0.064953534  0.052991559  0.041180913 
19  0.072378761  0.071008516  0.061303037  0.068271545  0.081647581  0.063425096  0.067156890 
20  0.085868824  0.076819345  0.080953133  0.081372283  0.104904799  0.103561037  0.127608604 
21  0.101715508  0.085066772  0.086207294  0.090700931  0.097719325  0.106323435  0.213401235 
22  0.118338640  0.103944202  0.095585301  0.084089458  0.090885256  0.106258943  0.266559521 
23  0.094965110  0.096657284  0.124991818  0.072774068  0.076913223  0.129375652  0.228806773 
24  0.081352311  0.091412625  0.121396309  0.063280012  0.070406889  0.158419240  0.233380123 
25  0.106241259  0.107333830  0.144218980  0.069210146  0.072022783  0.217623621  0.258552903 
26  0.115541841  0.132049188  0.127954817  0.093521486  0.094577369  0.203485477  0.255266567 
27  0.120092403  0.139234486  0.139993690  0.118844982  0.110790238  0.196079518  0.282459435 
28  0.128341854  0.147112736  0.125754101  0.136320669  0.108584595  0.193015691  0.260168269 
29  0.153107362  0.147813168  0.132794315  0.158928133  0.146490433  0.214009549  0.239395776 
30  0.117298859  0.133516039  0.142344064  0.129182794  0.139415642  0.213965997  0.237174560 
31  0.092274153  0.108056170  0.163134506  0.124554191  0.124417729  0.237679846  0.228829824 
32  0.106614130  0.104308451  0.181351361  0.132054995  0.145120628  0.268867840  0.279036021 
33  0.094990713  0.088018597  0.196113392  0.134764428  0.144922843  0.256772834  0.318503644 
34  0.088625503  0.085273004  0.180925612  0.141606416  0.160934582  0.264049194  0.338335336 
35  0.113793621  0.098107242  0.183445881  0.162489944  0.180516403  0.242549786  0.353814075 
36  0.154842032  0.134723076  0.188475950  0.167664305  0.170517589  0.230165140  0.392233206 
37  0.254141618  0.221707434  0.241054605  0.259912679  0.206697556  0.352344233  0.477659476 
38  0.362038187  0.328687486  0.343341825  0.371573419  0.321620437  0.466738865  0.548656554 
39  0.407046179  0.345314929  0.386607757  0.402013910  0.363927091  0.491423517  0.630427928 
40  0.527241522  0.477301298  0.484429318  0.489432905  0.481416521  0.530833511  0.634657968 
41  0.650890193  0.621222807  0.623655182  0.627219720  0.595810977  0.619630229  0.710262622 
42  0.666173347  0.662247903  0.659209766  0.660197374  0.613225780  0.644699278  0.715992067 
43  0.656141539  0.628505766  0.661060310  0.639353087  0.579471853  0.640718757  0.686140709 
44  0.538762792  0.537597987  0.556739101  0.537560770  0.495044540  0.623391233  0.653122671 
45  0.456748058  0.411919551  0.440972288  0.470031889  0.401192238  0.516785373  0.634978666 
46  0.428399623  0.383721567  0.388358968  0.457235307  0.369409744  0.477200029  0.571547235 
47  0.409823183  0.385191584  0.369807515  0.429090113  0.356207913  0.433821744  0.524325770 
48  0.361300450  0.303740821  0.277551046  0.325815988  0.287239720  0.365829897  0.519408495 
49  0.345675131  0.308701471  0.285638696  0.286432741  0.278538918  0.359502344  0.483958610 
50  0.336697271  0.298886454  0.252137280  0.276139273  0.275755755  0.369695600  0.473588772 
51  0.311917157  0.270596967  0.244502390  0.259530745  0.270805223  0.335317435  0.463943034 
52  0.326093310  0.258672296  0.224122740  0.259577112  0.274109948  0.298027477  0.421318233 
