258 lignes;;Supports TNS;CODE GROUPE CODIPRESSE;CODE MEDIA CODIPRESSE;Supports CodiPresse;CATEGORY;PERIODICITY
1;14889;AEROPORT DE PARIS;101;655;AEROPORTS DE PARIS LIFESTYLE;MAGAZINES DE MARQUE;MENSUEL
2;6280;AIR FRANCE MADAME;101;11;AIR FRANCE MADAME;MAGAZINES DE MARQUE;BIMESTRIEL
3;7842;AIR FRANCE MAGAZINE;101;12;AIR FRANCE MAGAZINE;MAGAZINES DE MARQUE;MENSUEL
4;1596;ALTERNATIVES ECO.;101;475;ALTERNATIVES ECONOMIQUES;MAGAZINES;MENSUEL
5;1316;AMI DES JARDINS &MAISON;101;186;L'AMI DES JARDINS ET DE LA MAISON;MAGAZINES;MENSUEL
6;8633;ARGUS AUTOMOBILE;101;610;L'ARGUS ;MAGAZINES;HEBDOMADAIRE
7;1318;ART & DECORATION;101;15;ART ET DECORATION;MAGAZINES;MENSUEL
8;15589;ARTS MAGAZINE ;101;16;ARTS MAGAZINE;MAGAZINES;MENSUEL
9;1744;ASTRAPI;101;17;ASTRAPI;MAGAZINES;BIMENSUEL
10;8177;AUJOURD HUI PARISI.ECO;101;227;LE PARISIEN - AUJOURD'HUI EN FR. ECONOMIE;QUOTIDIENS NAT.;QUOTIDIENNE
11;7354;AUJOURD HUI PARISIEN;101;22;LE PARISIEN - AUJOURD'HUI EN FRANCE;QUOTIDIENS NAT.;QUOTIDIENNE
12;18139;AUJOURD HUI PARISIEN MAG;101;631;LE PARISIEN - AUJOURD'HUI MAGAZINE;MAGAZINES;HEBDOMADAIRE
13;1446;AUTO JOURNAL;101;189;L'AUTO-JOURNAL;MAGAZINES;BIMENSUEL
14;9293;AUTO JOURNAL EVASION 4X4;101;192;L'AUTO JOURNAL 4X4 EVASION;MAGAZINES;TRIMESTRIEL
15;1215;AUTO MOTO;101;6;AUTO MOTO;MAGAZINES;MENSUEL
16;1086;AUTO PLUS;101;23;AUTO PLUS;MAGAZINES;HEBDOMADAIRE
17;1449;AUTOMOBILE MAGAZINE;101;193;L'AUTOMOBILE MAGAZINE;MAGAZINES;MENSUEL
18;6191;AUTOMOBILES CLASSIQUES;101;690;AUTOMOBILES CLASSIQUES;MAGAZINES;MENSUEL
19;6261;AVANTAGES;101;25;AVANTAGES;MAGAZINES;MENSUEL
20;1310;BABAR;101;27;BABAR;MAGAZINES;MENSUEL
21;4022;BATEAUX;101;28;BATEAUX;MAGAZINES;MENSUEL
22;14010;BE;101;675;BE;MAGAZINES;MENSUEL
23;1069;BEAUX ARTS;101;509;BEAUX ARTS MAGAZINE;MAGAZINES;MENSUEL
24;1826;BIBA;101;31;BIBA;MAGAZINES;MENSUEL
25;1348;BIEN ETRE ET SANTE;101;666;BIEN ETRE ET SANTE;MAGAZINES;MENSUEL
26;4860;BILTO;101;620;BILTO;QUOTIDIENS NAT.;QUOTIDIENNE
27;1857;CA M INTERESSE;101;36;CA M'INTERESSE ;MAGAZINES;MENSUEL
28;9688;CA M INTERESSE HS;101;37;CA M'INTERESSE HORS SERIE;MAGAZINES;HORS SERIE
29;9328;CAMPAGNE DECORATION;101;41;CAMPAGNE DECORATION;MAGAZINES;BIMESTRIEL
30;1771;CAMPING CAR;101;42;CAMPING CAR MAGAZINE;MAGAZINES;MENSUEL
31;1477;CAPITAL;101;45;CAPITAL;MAGAZINES;MENSUEL
32;5668;CAPITAL HS;101;46;CAPITAL HORS SERIE;MAGAZINES;HORS SERIE
33;1320;CHALLENGES;101;51;CHALLENGES;MAGAZINES;HEBDOMADAIRE
34;1462;CHASSEUR FRANCAIS;101;195;LE CHASSEUR FRANCAIS;MAGAZINES;MENSUEL
35;9725;CHOC;101;54;CHOC;MAGAZINES;BIMENSUEL
36;5082;CLASSICA;101;665;CLASSICA;MAGAZINES;MENSUEL
37;8110;CLOSER;101;58;CLOSER;MAGAZINES;HEBDOMADAIRE
38;1323;CONNAISSANCE DES ARTS;101;59;CONNAISSANCE DES ARTS;MAGAZINES;MENSUEL
39;1266;COSMOPOLITAN;101;61;COSMOPOLITAN;MAGAZINES;MENSUEL
40;5355;COURRIER INTERNATIONAL;101;67;COURRIER INTERNATIONAL;MAGAZINES;HEBDOMADAIRE
41;5362;CROIX;101;167;LA CROIX;QUOTIDIENS NAT.;QUOTIDIENNE
42;1341;CUISINE ACTUELLE;101;69;CUISINE ACTUELLE;MAGAZINES;MENSUEL
43;7407;CUISINE ACTUELLE HS;101;70;CUISINE ACTUELLE HORS SERIE;MAGAZINES;HORS SERIE
44;6868;CUISINE VINS FRANCE;101;72;CUISINE ET VINS DE FRANCE;MAGAZINES;BIMESTRIEL
